1;Low;1,2,5,10 and 20 kg;70
2;High;1,2,5,10 and 20 kg;146
3;Medium(3-4 years);1,4,10,15 and 20 liter;270
4;Medium;1,4,10 and 20 liter;115
5;High;1,4,10 and 20 liter;440
6;High;1,4,10 and 20 liter;600
7;High;200ml, 1,4,10 and 20 liter;520
8;High;1,4,10 and 20 liter;254
9;High;1,4,10 and 20 liter;580
10;High(5 years);1,4,10 and 20 liter;350
11;High;1,4,10 and 20 liter;280
12;Low(3 years);1,4,10 and 20 liter;140
13;very High;1,4,10 and 20 liter;375
14;High;1,4,10 and 20 liter;250
15;Low(3 years);1,4,10 and 20 liter;120
16;High; 20 liter; 296
17;High;1,4,10 and 20 liter;500
